name,phone,addr:housenumber,addr:street,addr:city,addr:state,addr:postcode,operator,isced:level,grades,religion,denomination,wikidata,wikipedia,website
Bridgeport Baptist Academy,+1 989 777 6811,2400,King Rd,Bridgeport,MI,48722,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,christian,baptist
Brightmont Academy - Ann Arbor,+1 312 909 9373,1315,E Michigan Ave,Saline,MI,48176,,3,10,,
Brightmont Academy - Birmingham,+1 248 430 3060,33483,Woodward Avenue,Birmingham,MI,48009,,1;2;3,4;6;7;8;9;10;11,,
Brightmont Academy - Plymouth,+1 734 548 8740,15374,Haggerty Road,Plymouth,MI,48170,,1;2;3,5;6;8;9;10;11;12,,
Brookfield Academy,+1 248 626 6665,2965,Walnut Lake Rd,West Bloomfield,MI,48323,,0;1,K;1;2;3;4;5,,
Brookfield Academy,+1 248 375 1700,1263,South Adams Rd,Rochester Hills,MI,48309,,0;1,K;1;2;3;4;5,,
Brookfield Academy,+1 734 464 2789,38945,Ann Arbor Rd,Livonia,MI,48150,,0;1,K;1;2;3,,
Brookfield Academy - Troy,+1 248 689 9565,3950,Livernois Rd,Troy,MI,48083,,0;1,K;1;2;3;4;5,,
Brookview School,+1 269 925 3544,501,Zollar Dr,Benton Harbor,MI,49022,,0;1;2,K;1;2;3;4;5;6;7;8,,
Brother Rice High School,+1 248 647 2526,7101,Lahser Rd,Bloomfield Hills,MI,48301,,3,9;10;11;12,christian,roman_catholic,Q4975554,Brother Rice High School (Michigan),http://www.brrice.edu
Byron Center Christian School,+1 616 878 3378,8840,Byron Center Ave Sw,Byron Center,MI,49315,,0;1;2,K;1;2;3;4;5;6;7;8,christian,
Cabrini High School,+1 313 388 0110,15305,Wick Rd,Allen Park,MI,48101,,3,9;10;11;12,christian,roman_catholic,Q5015844,Cabrini High School (Michigan),http://www.cabrinihighschool.org
Cadillac Heritage Christian,+1 231 775 4272,1706,Wright St,Cadillac,MI,49601,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Calhoun Christian School,+1 269 965 5560,20,Woodrow Ave S,Battle Creek,MI,49015,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Calvary Baptist Academy,+1 989 832 3341,6100,Perrine Rd,Midland,MI,48640,,1;2;3,1;2;3;4;5;6;7;8;9;10;11;12,christian,baptist
Calvary Bible Academy,+1 269 782 7296,27032,Marcellus Hwy,Dowagiac,MI,49047,,1;2;3,1;2;3;4;6;7;8;9;10;11,,
Calvary Christian Academy,+1 734 482 1990,1007,Ecorse Rd,Ypsilanti,MI,48198,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Calvary Christian Academy,+1 734 379 4914,29788,Fort Rd,Rockwood,MI,48173,,0;1;2;3,K;2;3;5;8;11,,
Calvary Christian Academy,+1 734 652 6606,318,Riley St,Dundee,MI,48131,,1;2;3,1;2;4;5;6;7;8;9;10;11;12,christian,baptist
Calvary Christian Academy,+1 989 345 1651,231,Minzer Ct.,West Branch,MI,48661,,0;1;2,K;1;2;3;4;5;6,christian,
Calvary Christian School,+1 231 865 2141,5873,Kendra Rd,Fruitport,MI,49415,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,christian,baptist
Calvary Schools of Holland,+1 616 396 4494,6047,147Th Ave,Holland,MI,49423,,2;3,8;9;10;11;12,christian,baptist
Calvary Schools of Holland,+1 616 396 4494,518,Plasman Ave,Holland,MI,49423,,0;1;2,K;1;2;3;4;5;6;7,christian,baptist
Calvin Center SDA School,+1 269 476 2218,19088,Brownsville Rd,Cassopolis,MI,49031,,1;2;3,1;2;3;4;5;6;7;8;9,,
Calvin Christian Middle School & High School,+1 616 257 4228,3750,Ivanrest Ave Sw,Grandville,MI,49418,,2;3,6;7;8;9;10;11;12,christian,
Capitol City Baptist School,+1 517 694 1216,5100,Willoughby Rd,Holt,MI,48842,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,christian,baptist
Cardinal Mooney Catholic School,+1 810 765 8825,660,South Water St,Marine City,MI,48039,,3,9;10;11;12,christian,roman_catholic
Catholic Central High School,+1 616 233 5899,319,Sheldon Blvd Se,Grand Rapids,MI,49503,,3,9;10;11;12,christian,roman_catholic,Q5053096,"Catholic Central High School (Manistee, Michigan)",http://www.sabers.org
Cedar Creek Christian School,+1 269 623 5543,9213,Cedar Creek Rd,Delton,MI,49046,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10,,
Cedar Crest Academy,+1 248 625 7270,8970,Dixie Hwy,Clarkston,MI,48348,,0;1;2,K;1;2;3;4;5;6;7;8,,
Cedar Lake SDA Elementary School,+1 989 427 5614,7195,Academy Rd,Cedar Lake,MI,48812,,0;1;2,K;1;2;3;4;5;6;7;8,christian,seventh_day_adventist
Charity Echos School,+1 231 743 0135,7414,20 Mile Rd,Marion,MI,49665,,1;2,1;2;3;4;5;6;7;8,,
Charlotte Mason Community School,+1 313 338 3481,1419,W. Warren Avenue,Detroit,MI,48208,,0;1;2,K;1;2;3;4;5;6;7;8,,
Charlotte SDA School,+1 517 543 9491,1510,South Cochran Rd,Charlotte,MI,48813,,0;1;2,K;1;2;3;4;5;6;7;8,christian,seventh_day_adventist
Childrens Technological Academy,+1 248 799 0066,19421,W 10 Mile Rd,Southfield,MI,48075,,,,,
Chiquitos Bilingual Montessori (Chiquitos Inc) ,+1 248 764 8576,45900,Northpointe Blvd,Utica,MI,48315,,0;1,PK;K;1;2;3;4;5,,
Christ Lutheran School,+1 989 845 2611,16070,West Brady Rd,Oakley,MI,48649,,0;1;2,K;1;2;3;4;5;6;7;8,christian,lutheran
Christ Lutheran School,+1 269 429 7111,4333,Cleveland Ave,Stevensville,MI,49127,,0;1;2,K;1;2;3;4;5;6;7;8,christian,lutheran
Christ the King Lutheran School,+1 734 285 9697,15600,Trenton Rd,Southgate,MI,48195,,0;1;2,K;1;2;3;4;5;6;7;8,christian,lutheran
Christ the King Lutheran-Sebewaing,+1 989 883 3730,612,East Bay St,Sebewaing,MI,48759,,1;2,2;3;4;5;6;7;8,christian,lutheran
Christ the King Lutheran-Unionville,+1 989 883 3730,6351,Center St,Unionville,MI,48767,,0;1,K;1,christian,lutheran
Christ the King School,+1 313 532 1213,16800,Trinity St,Detroit,MI,48219,,0;1;2,K;1;2;3;4;5;6;7;8,christian,roman_catholic
Christian Montessori School,+1 734 332 9600,5225,Jackson Rd,Ann Arbor,MI,48103,,0;1;2;3,K;1;2;3;4;5;6;9,,
Clonlara School,+1 734 769 4511,1289,Jewett St,Ann Arbor,MI,48104,,1;2;3,4;6;7;8;9;10;11;12,,,Q5135034,Clonlara School,
Community Baptist Christian,+1 989 781 2340,8331,Gratiot Rd,Saginaw,MI,48609,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,christian,baptist
Community Christian School,+1 989 382 7896,4395,20 Mile Rd,Barryton,MI,49305,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Concordia Lutheran North,+1 248 474 2488,20805,Middlebelt Rd,Farmington Hills,MI,48336,,0;1,K;1;2;3;4,christian,lutheran
Concordia Lutheran South,+1 313 937 2233,9600,Leverne,Redford,MI,48239,,1;2,5;6;7;8,christian,lutheran
Conductive Learning Center,+1 616 575 0575,2428,"Burton Street, Se",Grand Rapids,MI,49546,,0;1;2,K;1;2;3;4;5;6;7,,
Cooper Amish School,+1 517 439 1515,,Cooper Rd,Reading,MI,49274,,1;2,1;2;3;4;5;6;7;8,christian,amish
Copper Country Christian School,+1 906 487 1718,56172,Calumet Ave,Calumet,MI,49913,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Cornerstone Christian Academy,+1 231 924 4705,405,West 44Th St,Fremont,MI,49412,,0;1;2,K;1;2;3;4;5;6;7;8,christian,baptist
Cornerstone Christian School,+1 231 627 2160,900,South Western Ave,Cheboygan,MI,49721,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Cornerstone Christian School,+1 810 494 4040,9455,Hilton Rd,Brighton,MI,48114,,0;1;2,K;1;2;3;4;5;6;7;8,,
Cornerstone Schools Association,+1 313 892 1860,6861,East Nevada St,Detroit,MI,48234,,3,9;10;11;12,christian,
Corpus Christi Catholic School,+1 616 994 9864,12100,Quincy St,Holland,MI,49424,,0;1;2,K;1;2;3;4;5;6;7;8,christian,roman_catholic
Cottage Home Forest School,+1 269 473 1286,11466,Red Bud Trl,Berrien Sprgs,MI,49103,,,,,
Countryside Christian School,+1 989 875 2313,4308,South Luce Rd,Ithaca,MI,48847,,0;1;2,K;1;2;3;4;5;6;7;8,,
Covenant Christian High School,+1 616 453 5048,1401,Ferndale Ave Sw,Grand Rapids,MI,49534,,3,9;10;11;12,,
Covenant Christian School,+1 231 845 9183,2980,West Us 10,Ludington,MI,49431,,0;1;2,K;1;2;3;4;5;6;7;8,,
Cranbrook  School,+1 248 645 3625,39221,Woodward Ave,Bloomfield Hills,MI,48303,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Crescent Academy International,+1 734 729 1000,40440,Palmer Rd,Canton,MI,48188,,0;1;2,K;1;2;3;4;5;6;7;8,muslim,
Cross Lutheran School,+1 989 453 3331,200,Ruppert St,Pigeon,MI,48755,,0;1;2,K;1;2;3;4;5;6;7;8,,
Cross of Glory Lutheran School,+1 586 781 9870,61095,Campground Rd,Washington,MI,48094,,0;1;2,K;1;2;3;4;5;6;7;8,christian,lutheran
Crown of Life Lutheran School,+1 586 427 6579,25065,Eureka Dr,Warren,MI,48091,,0;1;2,K;1;2;3;4;5;6;7;8,christian,lutheran
Daycroft Montessori School,+1 734 662 3335,1095,North Zeeb Rd,Ann Arbor,MI,48103,,0;1;2,K;1;2;3;4;5;6;7;8,,
Daycroft Montessori School,+1 734 930 0333,100,Oakbrook Dr,Ann Arbor,MI,48104,,,,,
Daystar Christian Academy,+1 231 734 3771,3976,80Th Ave,Evart,MI,49631,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Dearborn Heights Montessori Center,+1 313 359 3000,466,North John Daly Rd,Dearborn Heights,MI,48127,,0;1;2,K;1;2;3;4;5;6;7;8,,
DeLaSalle Collegiate High School,+1 586 778 2207,14600,Common Rd,Warren,MI,48088,,3,9;10;11;12,christian,roman_catholic
Demick School,+1 586 553 3199,29808,Autumn Ln,Warren,MI,48088,,3,9;12,,
Detroit Catholic Central High School,+1 248 596 3810,27225,Wixom Rd,Novi,MI,48374,,3,9;10;11;12,christian,roman_catholic,Q5265872,Detroit Catholic Central High School,http://www.catholiccentral.net
Detroit Christian Schools of Excellence,+1 313 281 8144,19370,Greenfield,Detroit,MI,48235,,0;1;2;3,PK;K;1;2;3;4;5;6;7;8;9;10;11;12,,
Detroit Country Day Junior School,+1 248 646 7717,3600,Bradway Blvd,Bloomfield Hills,MI,48301,,1,3;4;5,,
Detroit Country Day Lower School,+1 248 646 7717,3003,West Maple Rd,Bloomfield Hills,MI,48301,,0;1,K;1;2,,
Detroit Country Day Middle School,+1 248 646 7717,22400,Hillview Ln,Beverly Hills,MI,48025,,2,6;7;8,,
Detroit Country Day Upper School,+1 248 646 7717,22305,West 13 Mile Rd,Beverly Hills,MI,48025,,3,9;10;11;12,,
Detroit Cristo Rey High School,+1 313 843 2747,5679,West Vernor Hwy,Detroit,MI,48209,,3,9;10;11;12,christian,roman_catholic,Q5265891,Detroit Cristo Rey High School,http://detroitcristorey.org
Divine Child Elementary School,+1 313 562 1090,25001,Herbert Weier Dr,Dearborn,MI,48128,,0;1;2,K;1;2;3;4;5;6;7;8,christian,roman_catholic
Divine Child High School,+1 313 562 1990,1001,North Silvery Ln,Dearborn,MI,48128,,3,9;10;11;12,christian,roman_catholic,Q5284076,Divine Child High School,http://www.divinechildhighschool.org/
Divine Grace Lutheran School,+1 248 391 1131,3000,South Lapeer Rd,Lake Orion,MI,48359,,0;1;2,K;1;2;3;4;5;6;7;8,christian,lutheran
Divine Providence Academy - Conklin,+1 616 899 5300,18768,8Th Ave,Conklin,MI,49403,,0;1;2,K;1;2;3;4;5;6;7;8,christian,roman_catholic
Divine Providence Academy - Ravenna,+1 231 853 6743,3376,Thomas St,Ravenna,MI,49451,,0;1;2,K;1;2;3;4;5;6,christian,roman_catholic
Dreamy Islamic Academy,+1 313 359 9999,27325,W. Warren,Dearborn Heights,MI,48127,,0;1,K;1;2;3;4;5,muslim,
Dutton Christian School,+1 616 698 8660,6729,Hanna Lake Ave Se,Caledonia,MI,49316,,1;2,3;4;5;6;7;8,christian,
Dutton Christian School,+1 616 698 8660,6980,Hanna Lake,Caledonia,MI,49316,,0;1,K;1;2,christian,
Eagle Creek Academy,+1 248 475 9999,3739,Kern Rd,Oakland,MI,48363,,0;1;2,K;1;2;3;4;5;6;7;8,,
Early Impressions,+1 248 357 1740,25000,West 10 Mile Rd,Southfield,MI,48033,,0;1,K;1;2,,
East Martin Christian School,+1 269 672 5722,516,118Th Ave,Martin,MI,49070,,0;1;2,K;1;2;3;4;5;6;7;8,christian,
Eastside Christian School,+1 616 942 2939,2792,Michigan St Ne,Grand Rapids,MI,49506,,0;1;2;3,K;1;2;3;4;5;6;7;8;9,,
Eau Claire SDA School,+1 269 944 4132,6562,Naomi Rd,Eau Claire,MI,49111,,0;1;2,K;1;2;3;4;5;6;7;8,christian,seventh_day_adventist
Ebenezer Christian School,+1 231 588 2111,9541,White St,Ellsworth,MI,49729,,0;1;2,K;1;2;3;4;5;6;7;8,christian,
Edenville SDA Elementary School,+1 989 689 3505,342,W. Curtis,Edenville,MI,48620,,1;2,1;3;4;7;8,christian,seventh_day_adventist
Emanuel First Lutheran School,+1 517 485 4547,1001,North Capitol Ave,Lansing,MI,48906,,0;1;2,K;1;2;3;4;5;6;7;8,christian,lutheran
Emanuel Lutheran School,+1 989 362 3622,216,North St W,Tawas City,MI,48763,,0;1;2,K;1;2;3;4;5;6;7;8,christian,lutheran
Emanuel Redeemer Lutheran School,+1 810 387 2906,11089,Yale Rd,Brockway,MI,48097,,1;2,1;2;3;4;5;6;7;8,christian,lutheran
Emerson School,+1 734 665 9005,5425,Scio Church Rd,Ann Arbor,MI,48103,,0;1;2,K;1;2;3;4;5;6;7;8,,
Emmanuel Lutheran School,+1 313 561 6265,22425,Morley Ave,Dearborn,MI,48124,,0;1;2,K;1;2;3;4;5;6;7;8,christian,lutheran
Escanaba SDA Elementary School,+1 906 786 3039,210,South Lincoln Rd,Escanaba,MI,49829,,0;1;2,K;1;2;3;4;5;6;7,christian,seventh_day_adventist
Eton Academy,+1 248 642 1150,1755,East Melton Rd,Birmingham,MI,48009,,1;2;3,1;2;3;4;5;6;7;8;9;10;11;12,,
Everest Academy,+1 248 241 9064,5935,Clarkston Rd,Clarkston,MI,48348,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,christian,roman_catholic
Evergreen Lutheran School,+1 313 584 0450,8680,Evergreen Ave,Detroit,MI,48228,,0;1;2,K;1;2;4;6;7,,
Factoryville Christian School,+1 269 729 4203,33650,Factoryville Rd,Athens,MI,49011,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Fairhaven SDA School,+1 810 785 4024,,G-1379 West Louis Ave,Flint,MI,48505,,1;2,1;2;4;5;6;7;8,,
Faith Baptist School,+1 810 653 9661,7306,East Atherton Rd,Davison,MI,48423,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Faith Christian School,+1 269 367 4621,7455,Woodland Rd,Lake Odessa,MI,48849,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Faith Christian Schools,+1 586 783 9630,23130,Remick Dr,Clinton Township,MI,48036,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Faith Comm. Christian Academy,+1 586 445 1101,19800,Frazho St,Saint Clair Shores,MI,48081,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Faith Community Christian School,+1 616 794 3451,9614,Fisk Rd,Belding,MI,48809,,0;1;2,K;1;2;3;4;5;6,christian,
Faith Lutheran School,+1 989 684 3448,3033,Wilder Rd,Bay City,MI,48706,,0;1;2,K;1;2;3;4;5;6;7;8,christian,lutheran
Faithway Christian Academy,+1 810 743 0055,1225,South Center Rd,Burton,MI,48509,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Farber Hebrew Day School - Yeshivat Akiva,+1 248 386 1625,21100,West 12 Mile Rd,Southfield,MI,48076,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,jewish,
Fellowship Baptist Academy,+1 989 584 6430,8070,South Bloomer St,Carson City,MI,48811,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,christian,baptist
First Flint SDA School,+1 810 732 0230,,G4285 Beecher Rd,Flint,MI,48532,,1;2,1;2;4;5;6;8,christian,seventh_day_adventist
Fish Creek School,+1 989 584 6006,7217,South Garlock Rd,Carson City,MI,48811,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Father Gabriel Richard High School,+1 734 662 0496,4333,Whitehall Dr,Ann Arbor,MI,48105,,3,9;10;11;12,christian,roman_catholic,Q5437597,"Father Gabriel Richard High School (Ann Arbor, Michigan)",http://www.fgrhs.org
Father Luke M. Powers High School,+1 810 591 4741,1505,W Court St,Flint,MI,48503,,3,9;10;11;12,christian,roman_catholic
Father Marquette Catholic School,+1 906 225 1129,500,South 4Th St,Marquette,MI,49855,,0;1,K;1;2;3;4,christian,roman_catholic
Father Marquette Middle School,+1 906 226 7912,414,West College Ave,Marquette,MI,49855,,1;2,5;6;7;8,christian,roman_catholic
Freedom Christian School,+1 517 523 3426,9400,East Beecher Rd,Pittsford,MI,49271,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Fremont Christian School,+1 231 924 2740,208,Hillcrest Ave,Fremont,MI,49412,,0;1;2,K;1;2;3;4;5;6;7;8,christian,
Gabriel Richard Catholic High School,+1 734 284 1875,15325,Pennsylvania Rd,Riverview,MI,48193,,3,9;10;11;12,christian,roman_catholic,Q5515820,Gabriel Richard Catholic High School,http://www.gabrielrichard.org
Gagie School,+1 269 342 8008,615,Fairview Ave,Kalamazoo,MI,49008,,0;1;2,K;1;2;3;4;5;6;7;8,,
Genesee Academy,+1 810 250 7557,9447,Corunna Rd,Swartz Creek,MI,48473,,0;1;2;3,PK;K;1;2;3;4;5;6;7;8;9;10;11;12,muslim,
Genesee Christian School,+1 810 743 3108,1223,South Belsay Rd,Burton,MI,48509,,0;1;2;3,K;1;2;3;4;5;6;7;8;9;10;11;12,,
Gesu Elementary School,+1 313 863 4677,17139,Oak Dr,Detroit,MI,48221,,0;1;2,K;1;2;3;4;5;6;7;8,christian,roman_catholic
Gethsemane Lutheran School,+1 989 792 3607,3412,Crestmont Dr,Saginaw,MI,48603,,0;1;2,K;1;2;3;4;5;6;7;8,,
Go Like The Wind Montessori School,+1 734 747 4722,3540,Dixboro Ln,Ann Arbor,MI,48105,,0;1;2;3,K;1;2;3;4;5;6;7;8;9,,
